Question,Answer
(Charles-Augustin_de_Coulomb) What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city. (related to: Charles-Augustin_de_Coulomb)
"(Charles-Augustin_de_Coulomb) Regarding this topic, what did the Revolution do?",The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Who determined to pursue mathematics?,Charles-Augustin de Coulomb (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) When did Coulomb return to Paris?,In 1759. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?,yes (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Was Coulomb born in Angoulme France to a well-to-do family?,"Coulomb was born in AngoulÃªme, France, to a well-to-do family (related to: Charles-Augustin_de_Coulomb)"
"(Charles-Augustin_de_Coulomb) Is he best known for developing Coulomb's law, the definition of the electrostatic force of attraction and repulsion?",Yes (related to: Charles-Augustin_de_Coulomb)
"(Charles-Augustin_de_Coulomb) The SI unit of charge, the coulomb, was named after him?",Yes (related to: Charles-Augustin_de_Coulomb)
"(Charles-Augustin_de_Coulomb) Did Coulomb die in AngoulÃªme, France, to a well-to-do family?",No (related to: Charles-Augustin_de_Coulomb)
(Chinese_language) Are all spoken varieties of Chinese tonal and analytical?,yes (related to: Chinese_language)
(Chinese_language) Are all spoken varieties of Chinese tonal and analytical?,yes (related to: Chinese_language)
(Chinese_language) Is fifty percent or more of Korean vocabulary of Chinese origin?,Yes (related to: Chinese_language)
(Chinese_language) Is fifty percent or more of Korean vocabulary of Chinese origin?,yes (related to: Chinese_language)
"(Chinese_language) Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",Yes (related to: Chinese_language)
"(Chinese_language) Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",yes (related to: Chinese_language)
(Chinese_language) What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin (related to: Chinese_language)
(Chinese_language) What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin (related to: Chinese_language)
"(Chinese_language) What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?","Putonghua / Guoyu, often called ""Mandarin"" (related to: Chinese_language)"
"(Chinese_language) What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?",Standard Mandarin (related to: Chinese_language)
(Chinese_language) How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"85,568 head entries (related to: Chinese_language)"
(Chinese_language) How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"54,678 (related to: Chinese_language)"
(Chinese_language) What does the PRC government classify as literacy amongst workers?,"knowledge of 2,000 characters (related to: Chinese_language)"
(Chinese_language) What does the PRC government classify as literacy amongst workers?,a knowledge of 2000 characters (related to: Chinese_language)
(Chinese_language) How is South China linguistically different from North China?,South China displays more linguistic diversity (related to: Chinese_language)
(Chinese_language) &#20415;&#24403;/&#20415;&#30070; “lunchbox or boxed lunch” (from bento) and &#26009;&#29702; “prepared cuisine” are loan words from which language?,Japanese (related to: Chinese_language)
(Chinese_language) &#20415;&#24403;/&#20415;&#30070; “lunchbox or boxed lunch” (from bento) and &#26009;&#29702; “prepared cuisine” are loan words from which language?,Chinese (related to: Chinese_language)
(Chinese_language) What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin. (related to: Chinese_language)
(Chinese_language) What is the standardized form of spoken chinese?,The standardized from of spoken Chinese is Standard Mandarin. (related to: Chinese_language)
(Chinese_language) Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan. (related to: Chinese_language)"
(Chinese_language) Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan. (related to: Chinese_language)"
(Chinese_language) Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family. (related to: Chinese_language)"
(Chinese_language) Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family. (related to: Chinese_language)"
(Chinese_language) When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period. (related to: Chinese_language)
(Chinese_language) When did classical Chinese literature begin?,Classical Chinese literature began in the 14th to 11th centuires BCE. (related to: Chinese_language)
(Chinese_language) How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan. (related to: Chinese_language)
(Chinese_language) How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,"The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan, or ""regional tongues."" (related to: Chinese_language)"
(Chinese_language) When was Middle Chinese used?,"Middle Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties. (related to: Chinese_language)"
(Chinese_language) When was Middle Chinese used?,Middle Chinese was the language used in the 6th through 1-th centuries CE. (related to: Chinese_language)
(Chinese_language) How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations. (related to: Chinese_language)
(Chinese_language) How is the pronunciation of foreign words determined?,Foreign words are transliterated into close-match existing Chinese morphemes. (related to: Chinese_language)
(Chinese_language) What is the total number of Chinese words?,"The Hanyu Da Zidian includes 54,678 head entries for characters. (related to: Chinese_language)"
(Chinese_language) What language was used in the Zhou and Southern Dynasties?,Old Chinese was the language common during the early and middle Zhou Dynasty. (related to: Chinese_language)
(Cougar) Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion. (related to: Cougar)
(Cougar) Is a cougar also known as a mountain lion?,yes (related to: Cougar)
(Cougar) Are cougars larger than jaguars?,Cougars are not larger than jaguars. (related to: Cougar)
(Cougar) Are cougars larger than jaguars?,no (related to: Cougar)
"(Cougar) Does the World Conservation Union consider the cougar a ""least concern"" species?","The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species. (related to: Cougar)"
"(Cougar) Does the World Conservation Union consider the cougar a ""least concern"" species?",yes (related to: Cougar)
(Cougar) What are some of the cougar's primary food sources?,"The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range. (related to: Cougar)"
(Cougar) What are some of the cougar's primary food sources?,"ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses, and sheep (related to: Cougar)"
(Cougar) How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail. (related to: Cougar)
(Cougar) How long are cougar adult males (from nose to tail)?,2.4 meters (related to: Cougar)
(Cougar) How long is an adult cougar's paw print?,An adult cougar's paw print is approximately 10 cm (4 inches) long. (related to: Cougar)
(Cougar) How long is an adult cougar's paw print?,4 inches (related to: Cougar)
(Cougar) What are the three heaviest cats in the world?,"The three heaviest cats in the world are the tiger, lion and jaguar. (related to: Cougar)"
(Cougar) What are the three heaviest cats in the world?,"tiger, lion, and jaguar (related to: Cougar)"
"(Cougar) On average, are cougar males heavier than females?","On average, cougar males are heavier than females. (related to: Cougar)"
"(Cougar) On average, are cougar males heavier than females?",yes (related to: Cougar)
(Cougar) What are the three cat species that are native to Canada?,"The three cat species that are native to Canada are the cougar, the bobcat and the Canadian lynx. (related to: Cougar)"
(Cougar) What are the three cat species that are native to Canada?,"cougar, bobcat, Canadian lynx (related to: Cougar)"
(Cymbal) Is one of the parts of a cymbal called a disc?,no (related to: Cymbal)
(Cymbal) Is one of the parts of a cymbal called a disc?,NULL (related to: Cymbal)
(Cymbal) Are ride cymbals very common?,yes (related to: Cymbal)
(Cymbal) Are ride cymbals very common?,NULL (related to: Cymbal)
(Cymbal) Does Fender make cymbals?,no (related to: Cymbal)
(Cymbal) Does Fender make cymbals?,NULL (related to: Cymbal)
(Cymbal) What part of the cymbal is the bell?,The center of a Cymbal (related to: Cymbal)
(Cymbal) What part of the cymbal is the bell?,NULL (related to: Cymbal)
(Cymbal) What's the timber of ancient cimbals like? disfluent,like that of small hand-bells or of the notes of the keyed harmonica (related to: Cymbal)
(Cymbal) What's the timber of ancient cimbals like? disfluent,NULL (related to: Cymbal)
(Cymbal) What does it sound like to play cymbals with a cello bow?,squealing car brakes (related to: Cymbal)
(Cymbal) What does it sound like to play cymbals with a cello bow?,NULL (related to: Cymbal)
(Cymbal) What are cymbals made of?,brass (related to: Cymbal)
(Cymbal) What are cymbals made of?,NULL (related to: Cymbal)
(Cymbal) How many cymbals typically go in a drum kit?,at least 3 (related to: Cymbal)
(Cymbal) How many cymbals typically go in a drum kit?,NULL (related to: Cymbal)
(Cymbal) What kinds of musical groups use cymbals?,"Cymbals are used in modern orchestras and many military, marching, concert and other bands (related to: Cymbal)"
(Cymbal) What kinds of musical groups use cymbals?,NULL (related to: Cymbal)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) NULL,NULL (related to: Dragonfly)
(Dragonfly) Are dragonflies capable of walking?,NULL (related to: Dragonfly)
(Dragonfly) Are dragonflies capable of walking?,NULL (related to: Dragonfly)
(Dragonfly) Do dragonfly nymphs ever hunt on land?,NULL (related to: Dragonfly)
(Dragonfly) Do dragonfly nymphs ever hunt on land?,NULL (related to: Dragonfly)
(Dragonfly) Do dragonflies spend most of their lives in their adult form?,NULL (related to: Dragonfly)
(Dragonfly) Do dragonflies spend most of their lives in their adult form?,NULL (related to: Dragonfly)
(Dragonfly) What are dragonfly larvae known as?,NULL (related to: Dragonfly)
(Dragonfly) What are dragonfly larvae known as?,NULL (related to: Dragonfly)
(Dragonfly) On what continent have dragonflies often been seen as sinister?,NULL (related to: Dragonfly)
(Dragonfly) On what continent have dragonflies often been seen as sinister?,NULL (related to: Dragonfly)
(Dragonfly) In how many directions can the adult dragonfly propel itself?,NULL (related to: Dragonfly)
(Dragonfly) In how many directions can the adult dragonfly propel itself?,NULL (related to: Dragonfly)
(Dragonfly) What is the hobby of seeking out dragonflies and damselflies called?,NULL (related to: Dragonfly)
(Dragonfly) What is the hobby of seeking out dragonflies and damselflies called?,NULL (related to: Dragonfly)
(Dragonfly) In what country are dragonflies used as a food source?,NULL (related to: Dragonfly)
(Dragonfly) In what country are dragonflies used as a food source?,NULL (related to: Dragonfly)
(Dragonfly) Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?,NULL (related to: Dragonfly)
(Dragonfly) Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?,NULL (related to: Dragonfly)
(Dragonfly) Is the dragonfly associated with late summer as well as early autumn?,Yes (related to: Dragonfly)
(Dragonfly) Does Exposure to air cause the larva to begin breathing?,Yes (capitalization). (related to: Dragonfly)
"(Dragonfly) Is it characterized by large multifaceted eyes, two pairs of strong transparent wings, and an elongated body?",Yes. (related to: Dragonfly)
(Drum) Is the drum a member of the percussion group?,yes (related to: Drum)
(Drum) Is the drum a member of the percussion group?,yes (related to: Drum)
(Drum) Does each type of drum head serve its own musical purpose?,yes (related to: Drum)
(Drum) Does each type of drum head serve its own musical purpose?,yes (related to: Drum)
(Drum) Is the Aburukuwa a type of drum?,yes (related to: Drum)
(Drum) Is the Aburukuwa a type of drum?,yes (related to: Drum)
(Drum) How long has the basic design of the drum remained unchanged?,remained virtually unchanged for thousands of years (related to: Drum)
(Drum) How long has the basic design of the drum remained unchanged?,thousands of years (related to: Drum)
(Drum) What is the second biggest factor affecting the sound produced by a drum?,tension (related to: Drum)
(Drum) What is the second biggest factor affecting the sound produced by a drum?,the tension at which the drum head is held against the shell of the drum. (related to: Drum)
(Drum) By what name are drums classified as under the percussion group?,membranophone (related to: Drum)
(Drum) By what name are drums classified as under the percussion group?,membranous (related to: Drum)
(Drum) How do rock and roll drummers like their drumheads?,rock and roll drummer may prefer drums that sound loud and deep (related to: Drum)
(Drum) How do rock and roll drummers like their drumheads?,drums that sound loud and deep (related to: Drum)
(Drum) Whare is the name for drums that have a S10_set of wires held across some of all of the drum heads?,snares (related to: Drum)
(Drum) Had the drums been used in Sri Lanka since Before Christ?,yes (related to: Drum)
(Drum) Had the drums been used in Sri Lanka since Before Christ?,yes (related to: Drum)
(Drum) Is the drum a member of the percussion group?,yes (related to: Drum)
(Drum) Is the drum a member of the percussion group?,yes (related to: Drum)
(Drum) Are drums often used in music therapy?,yes (related to: Drum)
(Drum) Are drums often used in music therapy?,yes (related to: Drum)
(Drum) Do drums consist of at least eight membranes?,no (related to: Drum)
(Drum) Do drums consist of at least eight membranes?,no (related to: Drum)
(Drum) What has the most effect on how a drum sounds?,the drumhead (related to: Drum)
(Drum) What has the most effect on how a drum sounds?,the drumhead (related to: Drum)
(Drum) Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio (related to: Drum)
(Drum) Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio (related to: Drum)
(Drum) Drums are usually played by what?,"the hands, or by one or two sticks (related to: Drum)"
(Drum) Drums are usually played by what?,the hands (related to: Drum)
(Drum) Has the design of drums changed recently?,no (related to: Drum)
(Drum) Has the design of drums changed recently?,no (related to: Drum)
(Drum) Can some cylindrical shell drums have no drum heads?,no (related to: Drum)
(Drum) Can some cylindrical shell drums have no drum heads?,no (related to: Drum)
(Drum) Does every drumhead make the same sound?,no (related to: Drum)
(Drum) Does every drumhead make the same sound?,no (related to: Drum)
(Drum) Aren't drums often used in music therapy?,"Yes, drums are often used in music therapy. (related to: Drum)"
(Drum) Aren't drums usually played by the hands?,Yes. (related to: Drum)
(Drum) Are drums usually played by the hands?,Yes (related to: Drum)
(Drum) Do many such drums have six to ten tension rods?,Yes. (related to: Drum)
"(Drum) Do drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with parts of a player's body, or with some sort of implement such as a drumstick, to produce sound?",yes (related to: Drum)
"(Drum) Have other techniques been used to cause drums to make sound, such as the ``Thumb roll''?",Yes (related to: Drum)
(Eel) Is the electric eel a true eel?,No (related to: Eel)
(Eel) Is the electric eel a true eel?,"No, the electric eel is not a true eel. (related to: Eel)"
(Eel) Are most eels predators?,Yes (related to: Eel)
(Eel) Are most eels predators?,"Yes, most eels are predators. (related to: Eel)"
(Eel) Is eel blood toxic to humans?,Yes (related to: Eel)
(Eel) Is eel blood toxic to humans?,"Yes, eel blood is toxic to humans. (related to: Eel)"
(Eel) How many species of true eels are there?,approximately 800 species (related to: Eel)
(Eel) How many species of true eels are there?,There are approximately 800 species of true eels. (related to: Eel)
(Eel) Where is smoked eel considered a delicacy?,"Northern Germany, The Netherlands, Denmark, Sweden (related to: Eel)"
(Eel) Where is smoked eel considered a delicacy?,"Smoked eel is considered a delicacy in northern Germany, The Netherlands, Denmark and Sweden. (related to: Eel)"
(Eel) How do eels begin life?,"As flat and transparent larvae, called leptocephali (related to: Eel)"
(Eel) How do eels begin life?,"Eels begin life as flat and transparent larvae, called leptocephali. (related to: Eel)"
(Eel) What types of fins do eels have?,"Dorsal, anal, caudal, tail fins (related to: Eel)"
(Eel) What types of fins do eels have?,Eels have dorsal and anal fins fused with a tail fin. Some also have  pectoral fins. (related to: Eel)
(Eel) What do leptocephali eat?,Marine snow (related to: Eel)
(Eel) What do leptocephali eat?,Leptocephali eat small particles called marine snow. (related to: Eel)
(Eel) Do all eels live in fresh water?,No (related to: Eel)
(Eel) Do all eels live in fresh water?,"No, not all eels live in fresh water. (related to: Eel)"
(Finnish_language) Is Finnish an official language of the European Union?,Yes (related to: Finnish_language)
(Finnish_language) Is Finnish an official language of the European Union?,"Yes, Finnish is an official language of the European Union. (related to: Finnish_language)"
(Finnish_language) Are the dialects of Finnish divided into two groups?,Yes (related to: Finnish_language)
(Finnish_language) Are the dialects of Finnish divided into two groups?,"Yes, the dialects of Finnish are divided into two groups. (related to: Finnish_language)"
(Finnish_language) Is Finnish threatened by English?,No (related to: Finnish_language)
(Finnish_language) Is Finnish threatened by English?,"No, Finnish is not threatened by English. (related to: Finnish_language)"
(Finnish_language) When did Proto-Uralic language arrive in Finland?,Around 1900 BCE (related to: Finnish_language)
(Finnish_language) When did Proto-Uralic language arrive in Finland?,Proto-Uralic language arrived in Finland around 1900 BCE. (related to: Finnish_language)
(Finnish_language) What are characteristic features of Finnish?,Vowel harmony and an agglutinative morphology (related to: Finnish_language)
(Finnish_language) What are characteristic features of Finnish?,Characteristic features of Finnish are vowel harmony and an agglutinative morphology. (related to: Finnish_language)
(Finnish_language) Where is the Kven language spoken?,Norway (related to: Finnish_language)
(Finnish_language) Where is the Kven language spoken?,The Kven language is spoken in Northern Norway. (related to: Finnish_language)
(Finnish_language) For how long has the classification of dialects spoken outside of Finland been a controversial issue?,Since Finland's independence in 1917 (related to: Finnish_language)
(Finnish_language) For how long has the classification of dialects spoken outside of Finland been a controversial issue?,The classification of dialects spoken outside of Finland has been a controversial issue since Finland's independence in 1917. (related to: Finnish_language)
(Finnish_language) Who wrote the first novel in Finnish?,Aleksis Kivi (related to: Finnish_language)
(Finnish_language) Who wrote the first novel in Finnish?,The first novel in Finnish was published by Aleksis Kivi. (related to: Finnish_language)
(Finnish_language) What book defined the official Finnish language?,The Dictionary of Contemporary Finnish (related to: Finnish_language)
(Finnish_language) What book defined the official Finnish language?,The Dictionary of Contemporary Finnish defined the official Finnish language. (related to: Finnish_language)
(Flute) What is the earliest extant transverse flute?,it dates from 433 BC (related to: Flute)
(Flute) What is the earliest extant transverse flute?,Chi (related to: Flute)
(Flute) When does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole (related to: Flute)
(Flute) When does a flute produce sound?,When a stream of air directed across a hole in the instrument creats a vibration of air at the hole. (related to: Flute)
(Flute) How can a flute's volume be increased?,a flute's volume can generally be increased by making its resonator and tone holes larger (related to: Flute)
(Flute) How can a flute's volume be increased?,A flute's volume can be increased by making its resonator and tone holes larger. (related to: Flute)
(Flute) Do open-ended flutes have brighter timbres?,yes (related to: Flute)
(Flute) Do open-ended flutes have brighter timbres?,Yes. (related to: Flute)
(Flute) Where was the oldest flute ever discovered found?,Germany (related to: Flute)
(Flute) Where was the oldest flute ever discovered found?,Various parts of Germany. (related to: Flute)
(Flute) Are Western flutes simpler than Indian flutes?,no (related to: Flute)
(Flute) Are Western flutes simpler than Indian flutes?,Yes. (related to: Flute)
(Flute) Why is a police whistle very wide for its pitch?,A flute's volume can generally be increased by making its resonator and tone holes larger (related to: Flute)
(Flute) Why is a police whistle very wide for its pitch?,It's volume is high either because of its larger resonator or larger tone holes. (related to: Flute)
(Flute) What are the two main varieties of Indian flutes?,"The first, the Bansuri. The second, the Venu or Pullanguzhal (related to: Flute)"
(Flute) What are the two main varieties of Indian flutes?,Bansuri and the Venu or Pullanguzhal. (related to: Flute)
(Flute) Has the flute been dated to prehistoric times?,yes (related to: Flute)
(Flute) Has the flute been dated to prehistoric times?,Yes (related to: Flute)
(Flute) Was the pan flute used in Greece?,yes (related to: Flute)
(Flute) Was the pan flute used in Greece?,Yes (related to: Flute)
(Flute) Can a flute be played with several different air sources?,yes (related to: Flute)
(Flute) Can a flute be played with several different air sources?,Yes (related to: Flute)
(Flute) When was the pan flute used in Greece?,the 7th century BC (related to: Flute)
(Flute) When was the pan flute used in Greece?,7th century BC (related to: Flute)
(Flute) When did concert flutes begin appearing in concert ensembles?,the 16th-century (related to: Flute)
(Flute) When did concert flutes begin appearing in concert ensembles?, (related to: Flute)
(Flute) How many main varieties of Indian flutes are currently used?,two (related to: Flute)
(Flute) How many main varieties of Indian flutes are currently used?,Two (related to: Flute)
(Flute) What material is a chi flute fashioned from?,lacquered bamboo (related to: Flute)
(Flute) What material is a chi flute fashioned from?,Lacquered bamboo (related to: Flute)
(Flute) How does a flute player change the pitch of the sound?,by opening and closing holes in the body of the instrument (related to: Flute)
(Flute) How does a flute player change the pitch of the sound?,Opening and closing holes in the body of the instrument (related to: Flute)
(Flute) What is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle (related to: Flute)
(Flute) What is the most basic form of the flute?,Open tube which is blown like a bottle (related to: Flute)
(Giant_Panda) Has the dragon historically served as China's national emblem?,yes (related to: Giant_Panda)
(Giant_Panda) Has the dragon historically served as China's national emblem?,Yes (related to: Giant_Panda)
(Giant_Panda) Do pandas hibernate?,no (related to: Giant_Panda)
(Giant_Panda) Do pandas hibernate?,No (related to: Giant_Panda)
(Giant_Panda) Do giant pandas attack humans?,yes (related to: Giant_Panda)
(Giant_Panda) Do giant pandas attack humans?,Yes (related to: Giant_Panda)
(Giant_Panda) What family is the panda a part of?,Ursidae (bear) (related to: Giant_Panda)
(Giant_Panda) What family is the panda a part of?,Ursidae (related to: Giant_Panda)
(Giant_Panda) How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth (related to: Giant_Panda)
(Giant_Panda) How long does it take for the panda cubs skin to turn gray?,One to two weeks (related to: Giant_Panda)
(Giant_Panda) How many different names did Chinese writings give to the panda?,20 (related to: Giant_Panda)
(Giant_Panda) How many different names did Chinese writings give to the panda?,20 (related to: Giant_Panda)
(Giant_Panda) What foods do pandas eat?,bamboo (related to: Giant_Panda)
(Giant_Panda) What foods do pandas eat?,"bamboo, honeys, eggs, fish, yams, shrub leaves, oranges, and bananas (related to: Giant_Panda)"
(Giant_Panda) What are the two subspecies of giant pandas?,Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis  (related to: Giant_Panda)
(Giant_Panda) What are the two subspecies of giant pandas?,"Ailuropoda melanoleuca melanoleuca and The Qinling Panda, Ailuropoda melanoleuca qinlingensis (related to: Giant_Panda)"
(Giant_Panda) What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos (related to: Giant_Panda)
(Giant_Panda) What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos (related to: Giant_Panda)
(Giant_Panda) Is the Giant Panda a mammal?,yes (related to: Giant_Panda)
(Giant_Panda) Is the Giant Panda a mammal?,Yes (related to: Giant_Panda)
(Giant_Panda) Is the Giant Panda a terrestrial animal?,yes (related to: Giant_Panda)
(Giant_Panda) Is the Giant Panda a terrestrial animal?,Yes (related to: Giant_Panda)
(Giant_Panda) Is the Giant Panda an endangered species?,yes (related to: Giant_Panda)
(Giant_Panda) Is the Giant Panda an endangered species?,Yes (related to: Giant_Panda)
(Giant_Panda) Where do Giant Pandas live?,a few mountain ranges in central china (related to: Giant_Panda)
(Giant_Panda) Where do Giant Pandas live?,"Sichuan province, Shaanxi and Gansu provinces (related to: Giant_Panda)"
(Giant_Panda) When was the Giant Panda's genome sequenced?,2009 (related to: Giant_Panda)
(Giant_Panda) When was the Giant Panda's genome sequenced?,2009 (related to: Giant_Panda)
(Giant_Panda) How many subspecies of the Giant Panda are there?,Two (related to: Giant_Panda)
(Giant_Panda) How many subspecies of the Giant Panda are there?,Two (related to: Giant_Panda)
(Giant_Panda) Is the Giant Panda a carnivore?,Yes (related to: Giant_Panda)
(Giant_Panda) Why is the Giant Panda an endangered species?,threatened by habitat loss (related to: Giant_Panda)
(Giant_Panda) Why is the Giant Panda an endangered species?,It is threatened by continued habitat loss and by a very low birthrate (related to: Giant_Panda)
(Giant_Panda) Is the population of wild Giant  Pandas growing?,"according to some reports, yes (related to: Giant_Panda)"
(Giant_Panda) Is the population of wild Giant  Pandas growing?,Yes but uncertain (related to: Giant_Panda)
(Guitar) Is an acoustic guitar dependent on an external device?,No (related to: Guitar)
(Guitar) Is an acoustic guitar dependent on an external device?,No. (related to: Guitar)
(Guitar) Is the battente smaller than a classical guitar?,Yes (related to: Guitar)
(Guitar) Is the battente smaller than a classical guitar?,Yes. (related to: Guitar)
(Guitar) Is the flamenco guitar similar to the classical guitar?,Yes (related to: Guitar)
(Guitar) Is the flamenco guitar similar to the classical guitar?,Yes. (related to: Guitar)
(Guitar) Where is the headstock located?,end of the guitar neck furthest from the body (related to: Guitar)
(Guitar) Where is the headstock located?,At the end of the guitar. (related to: Guitar)
(Guitar) Whom are guitars made and repaired by?,luthiers (related to: Guitar)
(Guitar) Whom are guitars made and repaired by?,Luthiers. (related to: Guitar)
(Guitar) What are modern guitar strings constructed of?,"metal, polymers, animal or plant product materials (related to: Guitar)"
(Guitar) What are modern guitar strings constructed of?,"Metal, polymers, or animal or plant product materials. (related to: Guitar)"
(Guitar) Why are Harp Guitars difficult to classify?,as there are many variations within this type of guitar (related to: Guitar)
(Guitar) Why are Harp Guitars difficult to classify?,There are many variations within this type. (related to: Guitar)
(Guitar) What is the bridge used for?,transfer the vibration from the strings to the soundboard (related to: Guitar)
(Guitar) What is the bridge used for?,The transfer of string vibrations. (related to: Guitar)
(Guitar) Which guitars use three single-coil pickups?,Fender Statocaster type guitars (related to: Guitar)
(Guitar) Which guitars use three single-coil pickups?,Fender Stratocaster type guitars. (related to: Guitar)
(Guitar) Is a guitar an instrument?,Yes (related to: Guitar)
(Guitar) Is a guitar an instrument?,yes (related to: Guitar)
(Guitar) Can guitars be divided into two broad categories?,Yes (related to: Guitar)
(Guitar) Can guitars be divided into two broad categories?,yes (related to: Guitar)
(Guitar) Do picks come in many shapes and sizes?,Yes (related to: Guitar)
(Guitar) Do picks come in many shapes and sizes?,yes (related to: Guitar)
(Guitar) How many strings does a guitar typically have?,Six (related to: Guitar)
(Guitar) How many strings does a guitar typically have?,six (related to: Guitar)
(Guitar) What is located at the end of the guitar neck furthest from the body?,Headstock (related to: Guitar)
(Guitar) What is located at the end of the guitar neck furthest from the body?,headstock (related to: Guitar)
(Guitar) What are most electric guitar bodies made of?,Wood (related to: Guitar)
(Guitar) What are most electric guitar bodies made of?,wood (related to: Guitar)
(Guitar) Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument (related to: Guitar)
(Guitar) Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument (related to: Guitar)
(Guitar) How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old (related to: Guitar)"
(Guitar) How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old (related to: Guitar)"
(Guitar) What is the point called that is bolted or glued to the body of the guitar?,Neck Joint (related to: Guitar)
(Guitar) What is the point called that is bolted or glued to the body of the guitar?,Neck joint or 'Heel' (related to: Guitar)
(Henri_Becquerel) Did Becquerel study science at the École des Ponts et Chaussées?,Yes (related to: Henri_Becquerel)
(Henri_Becquerel) Did he become chief engineer in the Department of Bridges and Highways in 1892?,No (related to: Henri_Becquerel)
(Henri_Becquerel) Did he become chief engineer in the Department of Bridges and Highways in 1892?,yes (related to: Henri_Becquerel)
(Henri_Becquerel) Was Becquerel a French physicist?,Yes (related to: Henri_Becquerel)
(Henri_Becquerel) Was Becquerel a French physicist?,yes (related to: Henri_Becquerel)
(Henri_Becquerel) Whom did he share the Nobel Prize with?,Pierre and Marie Curie (related to: Henri_Becquerel)
(Henri_Becquerel) Whom did he share the Nobel Prize with?,Pierre and Marie Curie (related to: Henri_Becquerel)
(Henri_Becquerel) When did he die?,1908 (related to: Henri_Becquerel)
(Henri_Becquerel) When did he die?,1908 (related to: Henri_Becquerel)
